Business Type,,Reseller Name,,City,State Name,,,,Head Office,Country,,Region
Warehouse, Distinctive Cycles Sales & Service    ,Distinctive Cycles Sales & Service,FLORENCE,Florence,Kentucky,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,      Village Tours    ,Village Tours,NEWPORT,Newport,Kentucky,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,     Blue-Ribbon Bike Company    ,Blue-Ribbon Bike Company,SAINT MATTHEWS,Saint Matthews,Kentucky,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,   Leading Bike Distributors    ,Leading Bike Distributors,SOMERSET,Somerset,Kentucky,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,  Convenient Bike Shop    ,Convenient Bike Shop,BRAINTREE,Braintree,Massachusetts,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,   Incomparable Bicycle Store    ,Incomparable Bicycle Store,NORWOOD,Norwood,Massachusetts,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,     Wholesale Bikes    ,Wholesale Bikes,RANDOLPH,Randolph,Massachusetts,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop, Bikes Anyone?    ,Bikes Anyone?,SAUGUS,Saugus,Massachusetts,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,        Purchase Mart    ,Purchase Mart,WRENTHAM,Wrentham,Massachusetts,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,      Wheelsets Storehouse    ,Wheelsets Storehouse,KITTERY,Kittery,Maine,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,  Fitness Sport Boutique    ,Fitness Sport Boutique,KITTERY,Kittery,Maine,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,     Metro Bike Works    ,Metro Bike Works,DETROIT,Detroit,Michigan,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,  Small Cycle Store    ,Small Cycle Store,HOLLAND,Holland,Michigan,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,        Exhilarating Cycles    ,Exhilarating Cycles,HOWELL,Howell,Michigan,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,          Handy Bike Services    ,Handy Bike Services,MADISON HEIGHTS,Madison Heights,Michigan,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,    Online Bike Sellers    ,Online Bike Sellers,MIDLAND,Midland,Michigan,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,   Blue Bicycle Company    ,Blue Bicycle Company,MONROE,Monroe,Michigan,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,"    Fabrikam Inc., West    ","Fabrikam Inc., West",NOVI,Novi,Michigan,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop, Full-Service Bike Store    ,Full-Service Bike Store,PONTIAC,Pontiac,Michigan,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,      Friendly Bike Shop    ,Friendly Bike Shop,PORT HURON,Port Huron,Michigan,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,     Historic Bicycle Sales    ,Historic Bicycle Sales,REDFORD,Redford,Michigan,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,   Grand Sport Boutique    ,Grand Sport Boutique,SAGINAW,Saginaw,Michigan,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,  Novelty Bikes    ,Novelty Bikes,SAGINAW,Saginaw,Michigan,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,   Field Trip Inc    ,Field Trip Inc,SOUTHFIELD,Southfield,Michigan,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,     Work and Play Association    ,Work and Play Association,SOUTHGATE,Southgate,Michigan,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller, Kickstand Sellers    ,Kickstand Sellers,WESTLAND,Westland,Michigan,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,        Catalog Store    ,Catalog Store,ZEELAND,Zeeland,Michigan,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,      Riders Company    ,Riders Company,BRANCH,Branch,Minnesota,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,  Active Systems    ,Active Systems,DULUTH,Duluth,Minnesota,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,     Fitness Hotel    ,Fitness Hotel,EDINA,Edina,Minnesota,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,  The Accessories Store    ,The Accessories Store,MEDFORD,Medford,Minnesota,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,        Hardware Components    ,Hardware Components,MINNEAPOLIS,Minneapolis,Minnesota,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,          Practical Bike Supply Company    ,Practical Bike Supply Company,WOODBURY,Woodbury,Minnesota,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,    Black Bicycle Company    ,Black Bicycle Company,BRANSON,Branson,Missouri,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,   District Mall    ,District Mall,FERGUSON,Ferguson,Missouri,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,    A Great Bicycle Company    ,A Great Bicycle Company,JEFFERSON CITY,Jefferson City,Missouri,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse, Valley Bicycle Specialists    ,Valley Bicycle Specialists,KANSAS CITY,Kansas City,Missouri,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,      Responsible Bike Dealers    ,Responsible Bike Dealers,KANSAS CITY,Kansas City,Missouri,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,     First Bike Store    ,First Bike Store,ODESSA,Odessa,Missouri,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,   Immense Manufacturing Company    ,Immense Manufacturing Company,SAINT ANN,Saint Ann,Missouri,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,  World of Bikes    ,World of Bikes,SAINT LOUIS,Saint Louis,Missouri,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,   Bicycle Lines Distributors    ,Bicycle Lines Distributors,SAINT LOUIS,Saint Louis,Missouri,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,     Best o' Bikes    ,Best o' Bikes,SAINT LOUIS,Saint Louis,Missouri,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop, Yellow Bicycle Company    ,Yellow Bicycle Company,SAINT LOUIS,Saint Louis,Missouri,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,        Bike Rims Company    ,Bike Rims Company,BILOXI,Biloxi,Mississippi,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,      eCommerce Bikes    ,eCommerce Bikes,GULFPORT,Gulfport,Mississippi,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,  One-Piece Handle Bars    ,One-Piece Handle Bars,TUPELO,Tupelo,Mississippi,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,     Finer Mart    ,Finer Mart,BILLINGS,Billings,Montana,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,  Nonskid Tire Company    ,Nonskid Tire Company,GREAT FALLS,Great Falls,Montana,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,        Road-Way Mart    ,Road-Way Mart,MISSOULA,Missoula,Montana,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,          Underglaze and Finish Company    ,Underglaze and Finish Company,CHARLOTTE,Charlotte,North Carolina,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,    Metro Bike Mart    ,Metro Bike Mart,GREENSBORO,Greensboro,North Carolina,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,   Sensational Discount Store    ,Sensational Discount Store,KANNAPOLIS,Kannapolis,North Carolina,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,    Exchange Parts Inc.    ,Exchange Parts Inc.,RALEIGH,Raleigh,North Carolina,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop, Lubricant and Grease Suppliers    ,Lubricant and Grease Suppliers,ROCKY MOUNT,Rocky Mount,North Carolina,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,      Chain and Chain Tool Distributions    ,Chain and Chain Tool Distributions,SMITHFIELD,Smithfield,North Carolina,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,     New and Used Bicycles    ,New and Used Bicycles,WINSTON-SALEM,Winston-Salem,North Carolina,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,   Metropolitan Sales and Rental    ,Metropolitan Sales and Rental,HOOKSETT,Hooksett,New Hampshire,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,  Outdoor Equipment Store    ,Outdoor Equipment Store,NASHUA,Nashua,New Hampshire,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,   Casual Bicycle Store    ,Casual Bicycle Store,NASHUA,Nashua,New Hampshire,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,     Seventh Bike Store    ,Seventh Bike Store,PLAISTOW,Plaistow,New Hampshire,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller, Retail Sales and Service    ,Retail Sales and Service,TILTON,Tilton,New Hampshire,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,        Bike Dealers Association    ,Bike Dealers Association,LAS CRUCES,Las Cruces,New Mexico,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,      Safe Toys    ,Safe Toys,RIO RANCHO,Rio Rancho,New Mexico,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,  Thrilling Bike Tours    ,Thrilling Bike Tours,SANTA FE,Santa Fe,New Mexico,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,     Downtown Hotel    ,Downtown Hotel,FERNLEY,Fernley,Nevada,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,  Remarkable Bike Store    ,Remarkable Bike Store,LAS VEGAS,Las Vegas,Nevada,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,        Brightwork Company    ,Brightwork Company,LAS VEGAS,Las Vegas,Nevada,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,          Retail Sporting Goods    ,Retail Sporting Goods,LAS VEGAS,Las Vegas,Nevada,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,    Imported and Domestic Cycles    ,Imported and Domestic Cycles,NORTH LAS VEGAS,North Las Vegas,Nevada,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,   Permanent Finish Products    ,Permanent Finish Products,RENO,Reno,Nevada,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,    Security Racks and Locks Wholesalers    ,Security Racks and Locks Wholesalers,SPARKS,Sparks,Nevada,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop, Margie's Travel    ,Margie's Travel,CENTRAL VALLEY,Central Valley,New York,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,      Small Bike Accessories Shop    ,Small Bike Accessories Shop,CHEEKTOWAGA,Cheektowaga,New York,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,     Independent Outlet    ,Independent Outlet,CLAY,Clay,New York,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,   A Bicycle Association    ,A Bicycle Association,DE WITT,De Witt,New York,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,  Famous Bike Sales and Service    ,Famous Bike Sales and Service,ENDICOTT,Endicott,New York,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,   Strong Metal Manufacturing    ,Strong Metal Manufacturing,ITHACA,Ithaca,New York,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,     Glossy Bikes    ,Glossy Bikes,LAKE GEORGE,Lake George,New York,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse, Larger Cycle Shop    ,Larger Cycle Shop,MELVILLE,Melville,New York,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,        Fashionable Department Stores    ,Fashionable Department Stores,NEW HARTFORD,New Hartford,New York,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,      Only Bikes and Accessories    ,Only Bikes and Accessories,NEW YORK,New York,New York,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,  Traditional Department Stores    ,Traditional Department Stores,VALLEY STREAM,Valley Stream,New York,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,     Guaranteed Sales and Service    ,Guaranteed Sales and Service,BURBANK,Burbank,Ohio,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,  Bicycle Outfitters    ,Bicycle Outfitters,CINCINNATI,Cincinnati,Ohio,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,        Mechanical Sports Center    ,Mechanical Sports Center,CINCINNATI,Cincinnati,Ohio,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,          Bike Boutique    ,Bike Boutique,COLUMBUS,Columbus,Ohio,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,    Curbside Universe    ,Curbside Universe,EUCLID,Euclid,Ohio,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,   Active Cycling    ,Active Cycling,HEATH,Heath,Ohio,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,    Expert Sports Store    ,Expert Sports Store,HOLLAND,Holland,Ohio,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller, The Bike Mechanics    ,The Bike Mechanics,MANSFIELD,Mansfield,Ohio,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,      Fourth Bike Store    ,Fourth Bike Store,MENTOR,Mentor,Ohio,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,     Active Transport Inc.    ,Active Transport Inc.,NORTH RANDALL,North Randall,Ohio,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,   Riverside Company    ,Riverside Company,OBERLIN,Oberlin,Ohio,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,  Grown-up Bike Store    ,Grown-up Bike Store,SPRINGDALE,Springdale,Ohio,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,   A Cycle Shop    ,A Cycle Shop,ALBANY,Albany,Oregon,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,     Cycle Clearance    ,Cycle Clearance,ALBANY,Albany,Oregon,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller, Superior Hardware Distributors    ,Superior Hardware Distributors,BEAVERTON,Beaverton,Oregon,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,        Scooters and Bikes Store    ,Scooters and Bikes Store,BEAVERTON,Beaverton,Oregon,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,      Sellers of Cycles    ,Sellers of Cycles,CLACKAMAS,Clackamas,Oregon,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,  Family Entertainment Center    ,Family Entertainment Center,CLACKAMAS,Clackamas,Oregon,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,     Stock Parts and Supplies    ,Stock Parts and Supplies,HILLSBORO,Hillsboro,Oregon,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,  Sports Merchandise    ,Sports Merchandise,KLAMATH FALLS,Klamath Falls,Oregon,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,        Kickstands and Accessories Company    ,Kickstands and Accessories Company,MEDFORD,Medford,Oregon,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,          Roadway Bike Emporium    ,Roadway Bike Emporium,MEDFORD,Medford,Oregon,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,    Another Bicycle Company    ,Another Bicycle Company,MILWAUKIE,Milwaukie,Oregon,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,   Latest Accessories Sales    ,Latest Accessories Sales,PORTLAND,Portland,Oregon,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,    Parcel Express Delivery Service    ,Parcel Express Delivery Service,PORTLAND,Portland,Oregon,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller, Fad Outlet    ,Fad Outlet,PORTLAND,Portland,Oregon,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,      Bike Experts    ,Bike Experts,SALEM,Salem,Oregon,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,     Convenient Sales and Service    ,Convenient Sales and Service,SPRINGFIELD,Springfield,Oregon,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,   Successful Sales Company    ,Successful Sales Company,TIGARD,Tigard,Oregon,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,  Suburban Cycle Shop    ,Suburban Cycle Shop,TROUTDALE,Troutdale,Oregon,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,   Tire Company    ,Tire Company,WARWICK,Warwick,Rhode Island,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,     Economic Parts Supply    ,Economic Parts Supply,WEST KINGSTON,West Kingston,Rhode Island,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller, Mobile Outlet    ,Mobile Outlet,WOONSOCKET,Woonsocket,Rhode Island,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,        New Bikes Company    ,New Bikes Company,BLUFFTON,Bluffton,South Carolina,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,      Consolidated Sales    ,Consolidated Sales,GAFFNEY,Gaffney,South Carolina,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,  Touring Services    ,Touring Services,MYRTLE BEACH,Myrtle Beach,South Carolina,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,     Sleek Bikes    ,Sleek Bikes,DENBY,Denby,South Dakota,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,  Travel Systems    ,Travel Systems,NORTH SIOUX CITY,North Sioux City,South Dakota,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,        Activity Center    ,Activity Center,CROSSVILLE,Crossville,Tennessee,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,          Resident Cycle Shop    ,Resident Cycle Shop,HIXSON,Hixson,Tennessee,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,    Sporting Goods and Bicycle Shop    ,Sporting Goods and Bicycle Shop,KINGSPORT,Kingsport,Tennessee,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,   Every Bike Shop    ,Every Bike Shop,LA VERGNE,La Vergne,Tennessee,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,    Ultimate Bike Shop    ,Ultimate Bike Shop,MARYVILLE,Maryville,Tennessee,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop, Wonderful Bikes Inc.    ,Wonderful Bikes Inc.,MEMPHIS,Memphis,Tennessee,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,      Excellent Riding Supplies    ,Excellent Riding Supplies,MEMPHIS,Memphis,Tennessee,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,     Reliable Brake Systems    ,Reliable Brake Systems,MEMPHIS,Memphis,Tennessee,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,   Next-Door Bike Store    ,Next-Door Bike Store,MEMPHIS,Memphis,Tennessee,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,  Budget Bike Company    ,Budget Bike Company,MILLINGTON,Millington,Tennessee,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,   Sports Sales and Rental    ,Sports Sales and Rental,MILLINGTON,Millington,Tennessee,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,     Tandem Bicycle Store    ,Tandem Bicycle Store,MILLINGTON,Millington,Tennessee,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop, Manufacturers Inc    ,Manufacturers Inc,NASHVILLE,Nashville,Tennessee,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,        Tiny Bike Boutique    ,Tiny Bike Boutique,NASHVILLE,Nashville,Tennessee,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,      Mountain Emporium    ,Mountain Emporium,NASHVILLE,Nashville,Tennessee,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,  Global Plaza    ,Global Plaza,PIGEON FORGE,Pigeon Forge,Tennessee,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,     Solid Bike Parts    ,Solid Bike Parts,ARLINGTON,Arlington,Texas,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,  Modular Cycle Systems    ,Modular Cycle Systems,AUSTIN,Austin,Texas,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,        Grand Bicycle Stores    ,Grand Bicycle Stores,BAYTOWN,Baytown,Texas,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,          Go-cart and Bike Specialists    ,Go-cart and Bike Specialists,CARROLLTON,Carrollton,Texas,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,    Cash & Carry Bikes    ,Cash & Carry Bikes,CEDAR PARK,Cedar Park,Texas,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,   Sheet Metal Manufacturing    ,Sheet Metal Manufacturing,COLLEGE STATION,College Station,Texas,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,    Satin Finish Company    ,Satin Finish Company,CORPUS CHRISTI,Corpus Christi,Texas,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop, Unsurpassed Bikes    ,Unsurpassed Bikes,DALLAS,Dallas,Texas,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,      Third Bike Store    ,Third Bike Store,DALLAS,Dallas,Texas,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,     Rental Bikes    ,Rental Bikes,DALLAS,Dallas,Texas,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,   Elite Bikes    ,Elite Bikes,DALLAS,Dallas,Texas,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,  Town Industries    ,Town Industries,DALLAS,Dallas,Texas,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,   Specialty Sports Store    ,Specialty Sports Store,FORT WORTH,Fort Worth,Texas,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,     Paint Supply    ,Paint Supply,GARLAND,Garland,Texas,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse, Fitness Toy Store    ,Fitness Toy Store,GARLAND,Garland,Texas,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,        Designer Department Stores    ,Designer Department Stores,HILLSBORO,Hillsboro,Texas,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,      Grease and Oil Products Company    ,Grease and Oil Products Company,HOUSTON,Houston,Texas,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,  The Gear Store    ,The Gear Store,HOUSTON,Houston,Texas,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,     Swift Cycles    ,Swift Cycles,HOUSTON,Houston,Texas,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,  All Seasons Sports Supply    ,All Seasons Sports Supply,HOUSTON,Houston,Texas,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,        Genial Bike Associates    ,Genial Bike Associates,HUMBLE,Humble,Texas,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,          Advanced Bike Components    ,Advanced Bike Components,IRVING,Irving,Texas,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,    Chic Department Stores    ,Chic Department Stores,IRVING,Irving,Texas,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,   Big Cycle Mall    ,Big Cycle Mall,KILLEEN,Killeen,Texas,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,   Maintenance and Repair for Bicycles    ,Maintenance and Repair for Bicycles,LA MARQUE,La Marque,Texas,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,   Journey Sporting Goods    ,Journey Sporting Goods,LAREDO,Laredo,Texas,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,   Extraordinary Bike Works    ,Extraordinary Bike Works,MESQUITE,Mesquite,Texas,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,   Two-Seater Bikes    ,Two-Seater Bikes,PLANO,Plano,Texas,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,   A Typical Bike Shop    ,A Typical Bike Shop,ROUND ROCK,Round Rock,Texas,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,   Stationary Bikes and Stands    ,Stationary Bikes and Stands,ROUND ROCK,Round Rock,Texas,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,   Social Activities Club    ,Social Activities Club,SAN ANTONIO,San Antonio,Texas,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,   Rural Sales and Service    ,Rural Sales and Service,SAN ANTONIO,San Antonio,Texas,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,    Beneficial Exercises and Activities    ,Beneficial Exercises and Activities,SAN ANTONIO,San Antonio,Texas,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse, Genuine Bike Shop    ,Genuine Bike Shop,SAN ANTONIO,San Antonio,Texas,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,      Totes & Baskets Company    ,Totes & Baskets Company,SAN ANTONIO,San Antonio,Texas,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,"     Contoso, Ltd.    ","Contoso, Ltd.",SAN ANTONIO,San Antonio,Texas,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,   Global Sporting Goods    ,Global Sporting Goods,STAFFORD,Stafford,Texas,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,  Mountain Toy Store    ,Mountain Toy Store,SUGAR LAND,Sugar Land,Texas,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,   Countryside Company    ,Countryside Company,BOUNTIFUL,Bountiful,Utah,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,     Western Bike Supplies    ,Western Bike Supplies,CEDAR CITY,Cedar City,Utah,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse, Utilitarian Sporting Goods    ,Utilitarian Sporting Goods,OGDEN,Ogden,Utah,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,        Fashionable Bikes and Accessories    ,Fashionable Bikes and Accessories,PARK CITY,Park City,Utah,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,      Roadway Supplies    ,Roadway Supplies,RIVERTON,Riverton,Utah,United,"States,uSA,New York",States,New York,United States,uSA,USA
